week_start,region_x,sub_region_x,country_name_x,city_name,completed_trips,completed_cash_trips,surged_trips,requests,sessions,driver_cancellations,rider_cancellations,unfulfilled_trips
2018/12/17,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,253,0,0,0
2019/02/11,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,250,0,0,0
2019/04/08,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,268,0,0,0
2018/11/19,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,270,0,0,0
2018/12/03,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,221,0,0,0
2019/03/25,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,254,0,0,0
2019/01/28,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,247,0,0,0
2019/02/25,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,254,0,0,0
2018/12/31,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,245,0,0,0
2019/04/22,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,0,0,0,0
2018/12/10,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,259,0,0,0
2018/12/24,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,291,0,0,0
2019/01/07,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,213,0,0,0
2019/02/04,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,262,0,0,0
2019/04/01,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,297,0,0,0
2019/03/04,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,265,0,0,0
2019/02/18,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,229,0,0,0
2019/04/15,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,144,0,0,0
2019/03/11,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,252,0,0,0
2019/01/14,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,229,0,0,0
2018/11/26,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,0,0,0,0
2019/03/18,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,251,0,0,0
2019/01/21,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,241,0,0,0
2018/11/12,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,256,0,0,0
2018/11/05,EMEA - NEE,UKI,United Kingdom,Aberdeen,0,0,0,0,254,0,0,0
2019/04/22,EMEA - MEA,MENA,United Arab Emirates,Abu Dhabi,453,62,3,535,0,14,67,2
2019/04/15,EMEA - MEA,MENA,United Arab Emirates,Abu Dhabi,435,52,0,493,849,13,45,1
2018/12/10,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,214,35,5,258,1260,6,38,1
2018/12/24,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,264,44,6,315,1500,7,43,0
2019/02/25,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,311,37,6,376,1401,10,54,2
2019/02/18,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,392,48,45,488,1603,15,80,3
2019/02/04,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,291,43,16,355,1481,10,54,3
2019/03/04,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,341,38,2,399,1441,10,47,1
2019/04/01,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,327,45,0,373,1432,9,37,1
2018/12/31,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,302,57,15,368,1581,10,54,3
2019/01/07,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,264,46,2,316,1269,6,45,1
2018/12/17,EMEA - MEA,Middle East,United Arab Emirates,Abu Dhabi,219,42,2,263,1283,6,38,0
